freq (MHz);s11 (dB);real Z_in;imag Z_in;Z_in total
1406.0;-0.02292020247963391;59.36836935777631;-1497.9376552315678;1499.113678891914
1408.0;-0.0230254376570984;59.466446571184505;-1495.7348492920917;1496.916496553712
1410.0;-0.023130917774926575;59.56444492381769;-1493.5399231458193;1494.727207596591
1412.0;-0.02323663523448436;59.66234531994271;-1491.352835179338;1492.545769632049
1414.0;-0.023342582484588183;59.76012900545369;-1489.1735440185166;1490.3721405150518
1416.0;-0.023448752020223687;59.85777756004215;-1487.0020085273322;1488.2062783427398
1418.0;-0.023555136381274103;59.955272889534264;-1484.8381878066502;1486.048141453094
1420.0;-0.023661728151292118;60.05259721839297;-1482.6820411929682;1483.8976884235724
1422.0;-0.023768519956264007;60.14973308236858;-1480.533528257123;1481.7548780697048
1424.0;-0.023875504463404695;60.24666332131656;-1478.39260880296;1479.619669443663
1426.0;-0.023982674379965353;60.34337107216349;-1476.2592428659686;1477.4920218327934
1428.0;-0.02409002245206037;60.43983976201229;-1474.1333907118926;1475.3718947581315
1430.0;-0.024197541463512648;60.53605310140276;-1472.0150128352961;1473.2592479728721
1432.0;-0.024305224234695003;60.631995077704715;-1469.9040699581183;1471.1540414608335
1434.0;-0.024413063621430586;60.727649948647894;-1467.800523028186;1469.0562354348801
1436.0;-0.0245210525138478;60.82300223598833;-1465.7043332177066;1466.9657903353304
1438.0;-0.024629183835295183;60.9180367193061;-1463.6154619217396;1464.8826668283443
1440.0;-0.02473745054126302;61.012738429927545;-1461.5338707566345;1462.8068258042788
1442.0;-0.024845845618303056;61.10709264496732;-1459.4595215584625;1460.738228376042
1444.0;-0.024954362082960667;61.20108488150377;-1457.3923763814084;1458.6768358774061
1446.0;-0.025062992980754532;61.294700890850635;-1455.3323974961586;1456.6226098613245
1448.0;-0.02517173138512427;61.38792665297546;-1453.279547388263;1454.5755120982155
1450.0;-0.02528057039640132;61.48074837099533;-1451.2337887564772;1452.5355045742383
1452.0;-0.02538950314082525;61.57315246581304;-1449.195084511091;1450.5025494895508
1454.0;-0.025498522769526192;61.665125570833766;-1447.1633977722438;1448.476609256557
1456.0;-0.025607622457538233;61.756654526808084;-1445.1386918682174;1446.4576464981358
1458.0;-0.025716795402829194;61.84772637676299;-1443.1209303337193;1444.4456240458603
1460.0;-0.02582603482533622;61.938328361037236;-1441.1100769081538;1442.4405049382053
1462.0;-0.02593533396599751;62.02844791241215;-1439.1060955338746;1440.442252418741
1464.0;-0.026044686085825528;62.118072651341606;-1437.1089503544295;1438.4508299343174
1466.0;-0.026154084464940677;62.207190381264994;-1435.1186057127927;1436.4662011332398
1468.0;-0.02626352240168221;62.295789084019574;-1433.135026149585;1434.4883298634297
1470.0;-0.026372993211651465;62.383856915337624;-1431.158176401282;1432.5171801705822
1472.0;-0.026482490226829622;62.471382200425175;-1429.1880213984184;1430.5527162963124
1474.0;-0.02659200679466147;62.55835342963311;-1427.224526263775;1428.594902676292
1476.0;-0.026701536277168265;62.64475925420392;-1425.2676563105615;1426.6437039383793
1478.0;-0.026811072050052825;62.73058848209356;-1423.3173770405892;1424.6990849007425
1480.0;-0.026920607501839368;62.81583007388876;-1421.3736541424353;1422.761010569973
1482.0;-0.027030136032983446;62.90047313877702;-1419.4364534896017;1420.8294461391981
1484.0;-0.027139651055012735;62.98450693061072;-1417.5057411386572;1418.9043569861733
1486.0;-0.02724914598968526;63.06792084403124;-1415.581483327387;1416.9857086713876
1488.0;-0.027358614268111797;63.15070441066944;-1413.6636464729236;1415.073466936147
1490.0;-0.02746804932993537;63.23284729541414;-1411.752197169874;1413.1675977006594
1492.0;-0.02757744462249035;63.314339292744805;-1409.8471021884418;1411.2680670621098
1494.0;-0.027686793599950986;63.39517032313539;-1407.9483284725397;1409.3748412927334
1496.0;-0.027796089722535937;63.475330429521584;-1406.0558431379038;1407.4878868378862
1498.0;-0.02790532645565099;63.554809773818846;-1404.1696134701872;1405.6071703140965
1500.0;-0.02801449726910611;63.633598633523015;-1402.2896069230624;1403.732658507128
1502.0;-0.028123595636291025;63.71168739835256;-1400.4157911163088;1401.8643183700276
1504.0;-0.028232615033365206;63.7890665669531;-1398.5481338339014;1400.0021170211749
1506.0;-0.028341548938468217;63.86572674367031;-1396.6866030220833;1398.1460217423157
1508.0;-0.02845039083090678;63.941658635353306;-1394.8311667874418;1396.2959999766008
1510.0;-0.028559134190381547;64.01685304824427;-1392.981793394976;1394.4520193266185
1512.0;-0.028667772496183807;64.09130088489457;-1391.1384512661575;1392.6140475524155
1514.0;-0.02877629922641936;64.16499314114284;-1389.3011089769866;1390.7820525695201
1516.0;-0.02888470785722165;64.23792090314056;-1387.4697352560402;1388.9560024469545
1518.0;-0.0289929918619843;64.3100753444375;-1385.644298982518;1387.1358654052462
1520.0;-0.02910114471056748;64.38144772309562;-1383.8247691842796;1385.321609814431
1522.0;-0.029209159868548783;64.4520293788694;-1382.0111150358744;1383.513204192051
1524.0;-0.029317030796447027;64.52181173041338;-1380.203305856571;1381.7106172011497
1526.0;-0.02942475094895666;64.59078627255073;-1378.4013111083725;1379.9138176482568
1528.0;-0.029532313774173452;64.65894457357624;-1376.6051003940302;1378.1227744813693
1530.0;-0.02963971271286957;64.72627827260295;-1374.8146434550508;1376.337456787928
1532.0;-0.029746941197685353;64.79277907694718;-1373.0299101696946;1374.557833792785
1534.0;-0.029853992652418924;64.85843875956319;-1371.2508705509674;1372.7838748561676
